Timestamp,What's your name?, [Adamant Will], [Aven Sentry], [Benalish Honor Guard], [Blessed Light], [Call the Cavalry], [Charge], [D'Avenant Trapper], [Dub], [Excavation Elephant], [Gideon's Reproach], [Healing Grace], [Invoke the Divine], [Knight of New Benalia], [Mesa Unicorn], [Pegasus Courser], [Sergeant-at-Arms], [Serra Disciple], [Tragic Poet]," [Baird, Steward of Argive]", [Board the Weatherlight]," [Danitha Capashen, Paragon]", [Dauntless Bodyguard], [Knight of Grace]," [Kwende, Pride of Femeref]", [Memorial to Glory], [On Serra's Wings], [Sanctum Spirit], [Seal Away], [Serra Angel], [Triumph of Gerrard], [Benalish Marshal], [Daring Archeologist]," [Evra, Halcyon Witness]", [Fall of Thran]," [Shalai, Voice of Plenty]"," [Teshar, Ancestor's Apostle]", [Urza's Ruinous Blast], [History of Benalia], [Lyra Dawnbringer], [Academy Drake], [Academy Journeymage], [Arcane Flight], [Artificer's Assistant], [Befuddle], [Blink of an Eye], [Cloudreader Sphinx], [Cold-Water Snapper], [Deep Freeze], [Divination], [Homarid Explorer], [Opt], [Relic Runner], [Rescue], [Syncopate], [Tolarian Scholar], [Unwind], [Vodalian Arcanist], [Curator's Ward], [Diligent Excavator], [In Bolas's Clutches], [Memorial to Genius], [Merfolk Trickster], [Sage of Lat-Nam], [Sentinel of the Pearl Trident]," [Slinn Voda, the Rising Deep]"," [Tetsuko Umezawa, Fugitive]", [Time of Ice], [Weight of Memory], [Wizard's Retort], [Karn's Temporal Sundering]," [Naban, Dean of Iteration]", [Precognition Field], [Tempest Djinn], [The Antiquities War], [The Mirari Conjecture]," [Zahid, Djinn of the Lamp]"," [Naru Meha, Master Wizard]", [Blessing of Belzenlok], [Cabal Evangel], [Cabal Paladin], [Caligo Skin-Witch], [Dark Bargain], [Deathbloom Thallid], [Demonic Vigor], [Divest], [Drudge Sentinel], [Eviscerate], [Feral Abomination], [Fungal Infection], [Rat Colony], [Soul Salvage], [Stronghold Confessor], [Thallid Omnivore], [Vicious Offering], [Windgrace Acolyte], [Cast Down], [Chainer's Torment], [Final Parting], [Knight of Malice], [Lingering Phantom], [Memorial to Folly], [Settle the Score], [Thallid Soothsayer], [The Eldest Reborn]," [Urgoros, the Empty One]"," [Whisper, Blood Liturgist]"," [Yargle, Glutton of Urborg]", [Dread Shade]," [Josu Vess, Lich Knight]"," [Karazov, Sengir Pureblood]", [Lich's Mastery], [Rite of Belzenlok]," [Torgaar, Famine Incarnate]", [Yawgmoth's Vile Offering], [Demonlord Belzenlok], [Phyrexian Scriptures], [Bloodstone Goblin], [Fervent Strike], [Fiery Intervention], [Fire Elemental], [Frenzied Rage], [Ghitu Chronicler], [Ghitu Journeymage], [Ghitu Lavarunner], [Keldon Overseer], [Keldon Raider], [Keldon Warcaller], [Radiating Lightning], [Rampaging Cyclops], [Run Amok], [Seismic Shift], [Shivan Fire], [Skirk Prospector], [Warlord's Fury], [Champion of the Flame], [Fight with Fire], [Firefist Adept], [Goblin Barrage], [Goblin Warchief], [Memorial to War], [Orcish Vandal], [Skizzik], [The Flame of Keld]," [Valduk, Keeper of the Flame]", [Warcry Phoenix], [Wizard's Lightning], [Goblin Chainwhirler], [Haphazard Bombardment], [Jaya's Immolating Inferno], [Siege-Gang Commander]," [Squee, the Immortal]", [The First Eruption], [Two-Headed Giant], [Jaya Ballard], [Verix Bladewing], [Adventurous Impulse], [Ancient Animus], [Arbor Armament], [Baloth Gorger], [Broken Bond], [Corrosive Ooze], [Gaea's Protector], [Gift of Growth], [Grow from the Ashes], [Krosan Druid], [Llanowar Elves], [Llanowar Envoy], [Llanowar Scout], [Mammoth Spider], [Pierce the Sky], [Primordial Wurm], [Saproling Migration], [Yavimaya Sapherd], [Elfhame Druid], [Fungal Plots], [Gaea's Blessing]," [Grunn, the Lonely King]", [Memorial to Unity], [Nature's Spiral], [Song of Freyalise], [Spore Swarm], [Sporecrown Thallid], [Thorn Elemental], [Untamed Kavu], [Wild Onslaught], [Kamahl's Druidic Vow]," [Marwyn, the Nuturer]", [Steel Leaf Champion], [Sylvan Awakening], [Territorial Allosaurus], [The Mending of Dominaria], [Verdant Force]," [Multani, Yavimaya's Avatar]"," [Adeliz, the Cinder Wind]", [Arvad the Cursed]," [Garna, the Bloodflame]"," [Hallar, the Firefletcher]"," [Raff Capashen, Ship's Mage]"," [Rona, Disciple of Gix]"," [Shanna, Sisay's Legacy]"," [Slimefoot, the Stowaway]"," [Tatyova, Benthic Druid]"," [Tianna, Ship's Caretaker]"," [Aryel, Knight of Windgrace]", [Grand Warlord Radha]," [Jodah, Archmage Eternal]", [Oath of Teferi], [Primeval's Glorious Rebirth], [Darigaaz Reincarnated]," [Jhoira, Weatherlight Captain]"," [Muldrotha, the Gravetide]"," [Teferi, Hero of Dominaria]", [Aesthir Glider], [Bloodtallow Candle], [Guardians of Koilos], [Jousting Lance], [Navigator's Compass], [Pardic Wanderer], [Powerstone Shard], [Short Sword], [Skittering Surveyor], [Sparring Construct], [Voltaic Servant], [Amaranthine Wall], [Damping Sphere], [Howling Golem], [Icy Manipulator], [Jhoira's Familiar], [Juggernaut], [Shield of the Realm], [Sorcerer's Wand], [Urza's Tome], [Blackblade Reforged], [Forebear's Blade], [Gilded Lotus], [Helm of the Host], [Mishra's Self-Replicator], [Thran Temporal Gateway]," [Thraxos, Scourge of Kroog]"," [Karn, Scion of Urza]", [Mox Amber], [Weatherlight], [Cabal Stronghold], [Clifftop Retreat], [Hinterland Harbor], [Isolated Chapel], [Sulfur Falls], [Woodland Cemetary]
5/17/2018 11:35:49,Gavin,2,2,2,4,1,0,2,1,1,3,0,1,1,3,3,1,0,0,3,0,3,3,3,3,1,5,2,4,5,2,1,3,3,0,5,4,3,4,5,3,3,0,0,0,3,3,1,3,1,0,0,1,0,0,0,0,1,0,0,4,2,3,0,1,1,3,2,1,0,2,2,0,2,1,0,5,3,0,0,0,1,1,3,0,0,1,4,1,1,0,1,1,1,4,2,3,0,0,3,1,1,4,1,3,3,3,3,2,5,2,0,3,4,2,5,4,1,0,3,1,0,1,1,0,1,1,2,0,2,1,0,4,0,0,3,5,2,4,1,0,0,3,0,4,2,4,3,2,3,5,3,0,4,3,5,0,1,0,3,1,1,0,1,1,1,0,1,0,1,1,1,3,3,3,4,0,3,1,0,3,3,5,2,4,1,0,0,3,3,5,2,3,5,3,1,3,1,3,1,3,5,5,1,5,3,2,0,1,4,4,4,5,1,1,1,1,0,1,0,1,3,0,0,1,0,1,5,2,2,0,0,0,3,3,1,5,2,0,3,5,0,5,0,0,0,0,0,0
5/17/2018 12:24:54,Jacob,1,2,1,3,2,1,2,1,1,3,1,2,1,2,3,2,1,1,3,0,4,2,3,3,3,4,2,4,4,2,3,3,4,0,5,3,3,5,5,2,2,1,1,1,3,3,2,3,2,1,1,2,0,1,1,1,1,0,0,5,2,2,1,1,1,3,3,3,1,3,4,0,4,1,5,5,4,0,0,1,2,2,2,0,1,1,4,1,2,1,2,1,2,4,2,4,1,0,3,2,2,4,2,4,3,2,1,3,5,2,0,4,4,3,5,5,1,1,3,1,1,2,2,1,1,1,1,1,2,1,0,4,0,0,2,5,3,4,0,0,1,2,0,2,2,4,3,3,3,5,4,2,3,2,5,0,1,1,2,1,1,1,1,3,1,2,1,1,1,1,1,3,2,3,2,0,2,1,1,4,3,3,2,5,3,0,1,4,1,5,4,4,5,4,4,3,3,4,4,3,5,5,2,5,3,3,0,0,4,4,4,5,2,2,1,2,0,1,1,1,3,1,1,1,0,1,5,2,2,1,2,2,3,4,3,4,3,1,4,5,0,4,0,2,2,2,2,2
5/17/2018 18:59:41,John,1,3,1,4,1,0,1,1,0,3,0,0,1,1,3,1,1,0,1,0,3,0,3,2,1,4,3,4,4,1,4,3,3,0,5,5,3,5,5,4,3,1,0,0,3,4,2,1,2,1,0,0,0,2,1,0,2,0,0,5,3,3,1,2,1,4,4,2,2,3,1,0,3,0,2,5,3,0,1,1,3,2,4,0,1,0,4,2,3,0,1,2,4,4,3,4,1,1,4,2,2,4,3,3,3,2,2,3,5,5,0,5,5,3,5,5,1,1,4,1,2,3,2,0,1,3,1,1,2,1,0,4,0,2,3,5,3,4,2,0,1,4,1,4,3,4,5,2,5,5,3,1,4,2,5,2,3,1,3,2,1,1,1,4,2,4,2,1,2,1,1,4,3,4,4,0,4,2,1,4,4,4,2,4,3,1,2,3,2,5,3,3,5,3,3,2,2,4,3,3,4,5,2,5,3,1,0,2,5,4,5,5,2,1,1,2,0,1,0,3,3,0,1,0,0,1,5,3,2,0,0,1,5,5,3,5,4,0,5,5,0,5,0,0,0,0,0,0
5/17/2018 19:40:55,Hunter,2,3,1,4,2,1,2,1,0,3,0,0,1,1,4,2,1,0,3,0,4,2,4,4,2,3,2,4,5,1,4,3,3,0,5,3,4,5,5,4,3,1,1,0,3,5,2,3,4,1,2,3,0,1,1,0,1,0,1,5,2,3,0,3,2,4,4,3,3,4,3,1,3,1,4,5,4,0,1,3,4,3,3,0,1,1,4,2,3,1,3,3,3,4,3,3,2,1,4,2,3,4,3,4,4,4,2,3,5,3,1,4,4,4,5,5,3,1,4,2,1,4,2,1,2,3,1,1,3,2,0,4,0,1,2,5,4,4,1,0,0,4,2,3,3,4,4,4,5,5,3,3,3,3,5,2,3,1,4,1,2,1,2,4,3,4,1,2,3,3,3,3,3,3,2,0,3,3,2,5,3,3,3,4,3,0,2,3,2,4,4,4,5,5,4,4,4,5,5,4,5,5,3,5,3,1,1,0,4,4,4,5,2,3,2,3,0,2,1,2,4,0,1,1,0,2,5,3,3,1,1,3,3,4,2,5,5,0,4,5,1,5,0,2,3,3,2,3
5/17/2018 19:57:43,Huaxing,2,2,1,3,2,1,2,1,1,2,1,1,1,2,3,1,1,1,3,0,3,2,3,3,2,3,2,3,4,1,4,3,3,0,4,4,1,5,5,2,3,1,1,1,3,3,2,1,2,1,1,2,1,2,1,1,2,0,1,5,2,2,1,1,1,3,4,2,2,1,3,2,3,0,4,5,4,0,1,1,2,2,2,0,1,1,3,1,2,1,2,1,2,3,2,3,1,0,3,2,2,3,2,4,2,2,2,2,4,4,0,4,3,3,5,5,1,1,3,1,1,3,2,1,1,2,1,1,2,2,1,3,0,1,2,5,3,3,1,0,1,2,1,3,1,4,3,2,3,5,2,3,3,1,5,1,1,0,2,1,1,1,2,3,1,3,2,1,2,1,1,2,2,3,2,0,2,2,1,4,2,2,2,4,2,0,0,2,2,5,3,3,5,4,3,3,3,4,4,4,4,4,3,5,4,1,0,0,5,3,5,5,1,1,1,2,1,1,1,2,3,1,1,1,0,1,5,1,2,1,1,2,3,4,2,5,2,0,4,5,0,5,0,2,2,2,2,2
5/17/2018 21:49:46,Aryeh,0,1,1,2,2,0,1,0,0,4,0,0,1,1,3,4,1,0,2,0,2,1,3,2,1,5,2,4,5,3,4,3,3,0,4,3,1,5,5,3,3,0,0,0,1,4,1,3,1,1,0,1,0,1,0,0,1,0,1,4,1,3,1,1,3,3,4,1,1,4,4,2,5,0,0,5,5,0,1,1,1,1,2,0,0,1,4,1,2,1,1,2,3,4,3,4,0,0,4,2,1,4,2,4,3,2,2,2,5,3,1,4,3,3,5,4,2,0,4,0,0,4,2,1,3,3,1,1,2,0,0,4,1,0,0,5,3,1,2,0,0,2,0,2,3,4,4,2,2,5,2,1,2,3,5,1,3,0,4,0,2,1,1,3,3,4,2,2,2,0,1,3,2,4,2,0,3,1,0,4,2,4,3,4,4,1,2,5,4,5,3,4,5,4,4,3,2,4,3,1,2,4,4,5,4,1,0,0,5,3,4,5,2,1,1,3,0,1,0,1,3,1,1,0,0,1,4,3,4,1,2,1,4,5,3,1,1,0,3,5,0,5,1,1,1,1,1,1
5/18/2018 19:33:06,Ben,2,2,2,3,3,1,2,2,1,3,0,2,1,3,3,2,1,0,2,0,3,3,3,3,3,4,3,4,4,2,3,4,3,0,4,4,2,4,5,3,3,2,1,1,3,3,2,2,3,1,2,2,0,2,1,1,2,0,1,5,3,3,1,2,1,3,3,2,2,2,3,2,3,1,4,4,4,1,1,1,2,3,3,1,1,1,3,1,2,1,2,2,3,3,2,4,1,1,3,1,3,3,2,4,2,3,2,2,4,2,1,4,3,3,5,5,2,1,2,1,1,2,2,2,2,2,2,1,2,2,1,3,1,2,2,4,3,3,1,0,1,3,1,3,2,3,2,3,3,5,3,2,3,2,5,2,2,1,3,1,2,1,2,3,2,3,2,1,3,2,2,3,3,3,3,0,2,3,1,4,3,3,3,4,2,0,2,3,2,5,3,3,5,3,2,3,3,3,3,3,4,4,1,4,3,2,0,0,4,3,4,4,2,2,1,2,1,1,1,2,3,1,1,1,0,1,5,2,3,1,1,2,3,3,3,4,2,0,3,5,0,4,1,2,2,2,2,2
5/18/2018 20:17:11,Allen,2,2,1,4,2,1,1,1,0,3,1,1,1,3,3,2,1,0,2,0,3,1,3,3,2,4,2,4,4,2,3,2,2,0,4,3,1,4,5,3,3,2,1,1,3,3,2,2,2,1,1,2,0,2,1,1,1,0,1,5,2,2,0,2,1,3,3,2,1,2,2,0,3,0,2,4,3,1,1,1,2,2,2,0,0,1,4,1,2,1,2,1,3,4,2,4,1,0,3,2,3,4,2,4,3,3,2,2,4,2,2,4,3,2,5,5,1,1,3,1,1,3,2,1,2,2,1,1,2,2,0,4,1,1,1,5,3,4,1,0,0,3,1,3,2,4,3,3,2,5,3,1,3,2,5,1,2,1,3,1,1,1,1,2,1,3,1,1,3,1,1,2,3,4,3,0,2,2,1,5,2,3,2,4,1,0,2,2,2,4,2,2,5,4,3,4,3,4,4,4,4,5,2,5,3,2,0,0,5,3,4,5,2,1,1,2,0,1,0,1,3,1,1,1,0,1,5,2,2,0,1,1,2,3,2,4,2,0,3,5,0,5,0,2,2,2,2,2
